step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
26,26.0,1775278851000.0,0.05906792730093,1775278851000.0,2.1603068674380665e-05,1775278851000.0,3.1316993500674077e-06,1775278851000.0,1.3663767276739236e-05,1775278851000.0,524.060546875,1775278851000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27.0,1775278981000.0,0.0644896104931831,1775278981000.0,2.165480501759021e-05,1775278981000.0,5.659232466542763e-05,1775278981000.0,1.521073227195302e-05,1775278981000.0,520.8359375,1775278981000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28.0,1775279108000.0,0.0596983395516872,1775279108000.0,2.1593557981702816e-05,1775279108000.0,-1.2098010373051691e-05,1775279108000.0,1.807376065698918e-06,1775279108000.0,521.994140625,1775279108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29.0,1775279234000.0,0.0598139539361,1775279234000.0,2.0728562031280265e-05,1775279234000.0,1.2773583836001023e-05,1775279234000.0,1.1943948265979998e-05,1775279234000.0,523.697265625,1775279234000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30.0,1775279638000.0,0.0656980946660041,1775279638000.0,2.0402413614561965e-05,1775279638000.0,1.2780052453198463e-05,1775279638000.0,1.3747177945333531e-05,1775279638000.0,521.015625,1775279638000.0,0.6875,1775279638000.0,0.6875,1775279638000.0,0.854,1775279638000.0,0.833434,1775279638000.0,469.078125,1775279638000.0,0.154330693477436,1775279638000.0,0.0215182705439525,1775279638000.0,469.078125,1775279638000.0,0.9616516256613534,1775279638000.0,0.0021383399998481,1775279638000.0,0.992697390879119,1775279638000.0,64.0,1775279638000.0,0.016,1775279638000.0
31,31.0,1775279764000.0,0.0575064979493618,1775279764000.0,2.138795852957287e-05,1775279764000.0,-1.8672972254663023e-05,1775279764000.0,5.93469576415373e-06,1775279764000.0,520.6328125,1775279764000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,1775279892000.0,0.0580066815018653,1775279892000.0,2.1408592129290582e-05,1775279892000.0,-6.336253066674402e-06,1775279892000.0,5.6504322856199e-06,1775279892000.0,523.01953125,1775279892000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33.0,1775280020000.0,0.0615371949970722,1775280020000.0,2.0938870870068627e-05,1775280020000.0,-7.060192786401132e-06,1775280020000.0,1.9856342078128364e-05,1775280020000.0,520.630859375,1775280020000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34.0,1775280147000.0,0.0598139055073261,1775280147000.0,2.2173254315305257e-05,1775280147000.0,-3.677694707893142e-05,1775280147000.0,2.916187440860085e-06,1775280147000.0,520.830078125,1775280147000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35.0,1775280274000.0,0.0598345100879669,1775280274000.0,2.2668313063078926e-05,1775280274000.0,-3.0002784175753305e-05,1775280274000.0,6.9331999839050695e-06,1775280274000.0,520.283203125,1775280274000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36.0,1775280682000.0,0.060176957398653,1775280682000.0,2.2398252454536305e-05,1775280682000.0,-3.607509323333424e-05,1775280682000.0,1.0748214663180988e-05,1775280682000.0,519.98828125,1775280682000.0,0.6895,1775280682000.0,0.6895,1775280682000.0,0.85,1775280682000.0,0.8216379999999999,1775280682000.0,466.46875,1775280682000.0,0.1974065397559913,1775280682000.0,0.0285723856099685,1775280682000.0,466.46875,1775280682000.0,0.9538051323856506,1775280682000.0,0.0021388632993876,1775280682000.0,0.9890432551372408,1775280682000.0,64.0,1775280682000.0,0.016,1775280682000.0
37,37.0,1775280812000.0,0.0572712011635303,1775280812000.0,2.132656089059992e-05,1775280812000.0,7.047496300760514e-06,1775280812000.0,1.1221044587728102e-05,1775280812000.0,523.46875,1775280812000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38.0,1775280941000.0,0.0672237947583198,1775280941000.0,2.304429633781524e-05,1775280941000.0,-5.959252429299511e-07,1775280941000.0,6.309442142082844e-06,1775280941000.0,523.37109375,1775280941000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39.0,1775281068000.0,0.0587750002741813,1775281068000.0,2.1345440618603103e-05,1775281068000.0,1.5227591517896766e-05,1775281068000.0,1.522105867479695e-05,1775281068000.0,520.939453125,1775281068000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40.0,1775281197000.0,0.0608209073543548,1775281197000.0,2.249476403726192e-05,1775281197000.0,-1.885390924805108e-05,1775281197000.0,9.092293112189507e-06,1775281197000.0,522.09375,1775281197000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41.0,1775281323000.0,0.0622890405356884,1775281323000.0,2.4976275984300852e-05,1775281323000.0,-2.300507144314956e-05,1775281323000.0,1.1956811249547172e-05,1775281323000.0,522.04296875,1775281323000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42.0,1775281714000.0,0.057812463492155,1775281714000.0,2.351707296099903e-05,1775281714000.0,5.806173740907639e-06,1775281714000.0,0.0,1775281714000.0,522.126953125,1775281714000.0,0.68175,1775281714000.0,0.68175,1775281714000.0,0.85,1775281714000.0,0.8210639999999999,1775281714000.0,479.5625,1775281714000.0,0.1163415694413868,1775281714000.0,0.0175615795647074,1775281714000.0,479.5625,1775281714000.0,0.9636933162534592,1775281714000.0,0.0020791517135358,1775281714000.0,0.9965295929587464,1775281714000.0,64.0,1775281714000.0,0.016,1775281714000.0
43,43.0,1775281835000.0,0.0818553492426872,1775281835000.0,2.2965726945045617e-05,1775281835000.0,-2.551659467497913e-05,1775281835000.0,1.40893762363703e-05,1775281835000.0,521.8515625,1775281835000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44.0,1775281957000.0,0.0573048330843448,1775281957000.0,2.325501084143866e-05,1775281957000.0,2.606277153116565e-05,1775281957000.0,4.595582140609622e-06,1775281957000.0,520.697265625,1775281957000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45.0,1775282077000.0,0.0573853924870491,1775282077000.0,2.4137310852268e-05,1775282077000.0,7.246240173897078e-06,1775282077000.0,-1.42781573231332e-07,1775282077000.0,521.392578125,1775282077000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46.0,1775282198000.0,0.0571480169892311,1775282198000.0,2.4611471019397868e-05,1775282198000.0,6.044692202777924e-06,1775282198000.0,1.5100058590178378e-06,1775282198000.0,521.408203125,1775282198000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47.0,1775282322000.0,0.0618761107325553,1775282322000.0,2.382944204271098e-05,1775282322000.0,8.232445825484547e-06,1775282322000.0,-3.4825588954845443e-06,1775282322000.0,521.171875,1775282322000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48.0,1775282704000.0,0.0576722472906112,1775282704000.0,2.4120162805729702e-05,1775282704000.0,2.821457384741266e-05,1775282704000.0,0.0,1775282704000.0,520.78125,1775282704000.0,0.68775,1775282704000.0,0.68775,1775282704000.0,0.852,1775282704000.0,0.8209679999999999,1775282704000.0,449.03125,1775282704000.0,0.1320559967368088,1775282704000.0,0.0207390910988934,1775282704000.0,449.03125,1775282704000.0,0.9625168552859292,1775282704000.0,0.0022060783743667,1775282704000.0,0.9943909189448707,1775282704000.0,64.0,1775282704000.0,0.016,1775282704000.0
49,49.0,1775282826000.0,0.0565187558531761,1775282826000.0,2.395656555265191e-05,1775282826000.0,-4.600182519354235e-07,1775282826000.0,0.0,1775282826000.0,522.44140625,1775282826000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
