slug,paper_label,plot_key,family,variant,step,sample_count,traced_count,traced_ratio,score,response_length,answer_tail_confidence,low_confidence_token_ratio,token_entropy_mean,eos_prob_final,top1_prob_mean
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,72,4000,8,0.002,0.55325,634.8125,0.908917039167136,0.04006681551982183,0.21517037181183696,0.9490040593055546,0.9280230337753892
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,78,4000,8,0.002,0.54975,622.921875,0.9059701734222472,0.043253854011709336,0.22720067913178355,0.9163794664873485,0.9261658620089293
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,84,4000,8,0.002,0.539,590.765625,0.92216716427356,0.03472364576009568,0.19369652785826474,0.9511014723183255,0.9320613890886307
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,90,4000,8,0.002,0.55425,676.890625,0.9371062209829688,0.03430329651746433,0.18705164000857621,0.9150621950843607,0.9339239513501525
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,96,4000,8,0.002,0.568,566.65625,0.9360661320388317,0.03379355293145636,0.17999723728280514,0.9927485687658191,0.9367137467488647
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,102,4000,8,0.002,0.56,603.21875,0.9334381204098463,0.03129536276537692,0.18202700780238956,0.9148394040888944,0.9353210087865591
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,108,4000,8,0.002,0.5635,650.21875,0.9340679598972201,0.03585620228841435,0.19290429120883346,0.926795135589651,0.9323307182639837
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,114,4000,8,0.002,0.56175,612.390625,0.9266687333583832,0.04099388972099405,0.20996573357842863,0.9396318198022262,0.9292523255571723
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,120,4000,8,0.002,0.55625,620.359375,0.922193550504744,0.03463671317513217,0.1866695397766307,0.909518913273481,0.9339074762538075
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,126,4000,8,0.002,0.5535,536.859375,0.9414807576686144,0.031598472050973214,0.1697519402951002,0.9794417827169362,0.9393982877954841
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,132,4000,8,0.002,0.56175,621.546875,0.9353739572688937,0.0341912689327728,0.18935467902338132,0.8983816960168635,0.9339913353323936
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,138,4000,8,0.002,0.5495,590.46875,0.9355494165793061,0.03791248705238104,0.19956349255517125,0.9792639754365005,0.9306566771119833
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,144,4000,8,0.002,0.57225,629.640625,0.9357049912214279,0.03431886532052886,0.19197559193708003,0.965826200210513,0.9348732493817806
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,150,4000,8,0.002,0.55925,572.328125,0.92982386238873,0.0331447145799757,0.17058470577467233,0.9665612820535898,0.938856752589345
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,156,4000,8,0.002,0.57525,605.453125,0.9166421312838793,0.04492421662143897,0.23028212133795023,0.961227006471755,0.9246428301557899
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,162,4000,8,0.002,0.5715,562.5,0.9362233579158783,0.03130837048229296,0.18457860965281725,0.9623467060940467,0.9348048437386751
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,168,4000,8,0.002,0.57475,590.796875,0.9328654445707798,0.032544832763960585,0.1835075446870178,0.943575949879627,0.9357871850952506
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,174,4000,8,0.002,0.575,588.078125,0.9451875295490026,0.03204795667261351,0.17613123124465346,0.9738147202946188,0.9370295982807875
