formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,93,93.0,0.1365826427936554,0.0024867822867236,-0.0001970639623323,-226.3144509792328,550.203125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,94,94.0,0.1288849860429763,0.0024770678137429,0.000231345362863,-243.10944056510925,581.484375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,95,95.0,0.1285024881362915,0.0026418248307891,4.304327291038135e-05,-229.0926010608673,539.109375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,96,96.0,0.1457858830690384,0.0022195257988641,5.4591200523645966e-05,-228.86512279510492,545.78125,0.506,0.506,584.984375,0.2860421502420467,0.0550228371484281,584.984375,0.91003542194261,0.0015867102680123,0.9865975904300422,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,97,97.0,0.1275000274181366,0.0025215919158654,-1.66859591672619e-05,-242.93718814849856,536.0625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,98,98.0,0.1193762123584747,0.0027833103813463,6.915021640452323e-05,-238.4686393737793,525.484375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,99,99.0,0.1395676434040069,0.0031081115157576,-5.687107568519423e-05,-243.1862313747406,559.109375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,100,100.0,0.121803767979145,0.0029607603137264,0.0002378298005396,-247.30173444747925,510.0,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,101,101.0,0.1638125479221344,0.0025846702847047,4.511457427724963e-05,-243.7524425983429,568.015625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,102,102.0,0.1548734605312347,0.0030959600990172,-8.903757429834513e-05,-212.94025254249573,560.453125,0.548,0.548,610.34375,0.2349768670788986,0.044262966565972,610.34375,0.920751489330001,0.0015875036960779,0.9919357377930688,64.0,0.128
