formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,55,55.0,0.1293215602636337,0.0001108461914185,2.024746542517164e-05,0.0002407639840384,550.71875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,56,56.0,0.1250806599855423,0.0001145769678743,-2.638724511200285e-06,0.0002299688176208,548.087890625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,57,57.0,0.1338633596897125,0.0001099644143636,-8.30558412179272e-06,0.0003848313199341,577.20703125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,58,58.0,0.1223786696791648,0.0001139283478721,2.407994919728651e-05,0.0002933112573373,556.04296875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,59,59.0,0.1243346109986305,0.0001166003803945,1.2105911683768513e-05,0.0002156174996343,549.359375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,60,60.0,0.1211538612842559,0.0001194576003484,1.650174482747957e-05,0.0001931129581862,550.0625,0.54425,0.54425,0.808,0.768538,702.109375,0.2497045151712738,0.0496272393457216,702.109375,0.9214223370796664,0.0012946809055322,0.9875026863754373,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,61,61.0,0.1239823624491691,0.000113887833109,1.5008449305575766e-06,0.0001403292199029,536.353515625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,62,62.0,0.1181300356984138,0.0001192775865348,2.9472740842528825e-05,9.613672682462492e-05,526.60546875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,63,63.0,0.1141141280531883,0.0001148163759978,-3.7463960328811e-05,9.966734705812996e-05,527.65625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,64,64.0,0.1162914112210273,0.00012112124692,7.574464754966925e-06,0.0001181479319711,535.2890625,,,,,,,,,,,,,
