step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
35,35.0,1775067547000.0,0.1427823007106781,1775067547000.0,-3.717418958792962e-05,1775067547000.0,0.0002491221976583,1775067547000.0,622.98046875,1775067547000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36.0,1775068000000.0,0.1421889960765838,1775068000000.0,-2.9086148473522755e-05,1775068000000.0,0.0002914938822868,1775068000000.0,616.091796875,1775068000000.0,0.53225,1775068000000.0,0.53225,1775068000000.0,0.806,1775068000000.0,0.767912,1775068000000.0,639.359375,1775068000000.0,0.1896744151977637,1775068000000.0,0.0326743077787824,1775068000000.0,639.359375,1775068000000.0,0.9369787094387312,1775068000000.0,0.0014952585942507,1775068000000.0,0.993441455568566,1775068000000.0,64.0,1775068000000.0,0.016,1775068000000.0
37,37.0,1775068114000.0,0.1399946957826614,1775068114000.0,3.5829823421984486e-05,1775068114000.0,0.0003116951966148,1775068114000.0,614.76953125,1775068114000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38.0,1775068228000.0,0.136912852525711,1775068228000.0,1.5649385493726742e-05,1775068228000.0,0.0003004877198691,1775068228000.0,612.8203125,1775068228000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39.0,1775068341000.0,0.1330229043960571,1775068341000.0,-2.776078928157233e-05,1775068341000.0,0.0001730678550302,1775068341000.0,601.796875,1775068341000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40.0,1775068454000.0,0.1305845379829406,1775068454000.0,-2.8067672128706533e-05,1775068454000.0,0.0001392982594552,1775068454000.0,598.470703125,1775068454000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41.0,1775068569000.0,0.1526668220758438,1775068569000.0,-1.468912095559105e-05,1775068569000.0,0.0003065870187128,1775068569000.0,614.287109375,1775068569000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42.0,1775069020000.0,0.1335647851228714,1775069020000.0,-3.300333422373569e-05,1775069020000.0,0.0002130752436642,1775069020000.0,605.333984375,1775069020000.0,0.5355,1775069020000.0,0.5355,1775069020000.0,0.814,1775069020000.0,0.774092,1775069020000.0,665.15625,1775069020000.0,0.5853347330718414,1775069020000.0,0.0852478271082922,1775069020000.0,665.15625,1775069020000.0,0.8888372018467744,1775069020000.0,0.0014179464959707,1775069020000.0,0.954026931716098,1775069020000.0,64.0,1775069020000.0,0.016,1775069020000.0
43,43.0,1775069134000.0,0.1405235677957534,1775069134000.0,2.656493796582282e-05,1775069134000.0,0.0003512863067953,1775069134000.0,608.326171875,1775069134000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44.0,1775069247000.0,0.1310116052627563,1775069247000.0,-2.8224208186600208e-05,1775069247000.0,0.0002030539233146,1775069247000.0,594.185546875,1775069247000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45.0,1775069362000.0,0.1415674984455108,1775069362000.0,1.1303947297980343e-05,1775069362000.0,0.0003536093090588,1775069362000.0,621.716796875,1775069362000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46.0,1775069476000.0,0.1289983689785003,1775069476000.0,3.009746535553859e-06,1775069476000.0,0.0002056860464563,1775069476000.0,594.216796875,1775069476000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47.0,1775069590000.0,0.1395985037088394,1775069590000.0,-3.465166793148455e-05,1775069590000.0,0.0003780826382353,1775069590000.0,623.873046875,1775069590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48.0,1775070044000.0,0.1299913376569748,1775070044000.0,-6.525475212626475e-06,1775070044000.0,0.0002522514848806,1775070044000.0,612.462890625,1775070044000.0,0.5415,1775070044000.0,0.5415,1775070044000.0,0.814,1775070044000.0,0.772256,1775070044000.0,535.515625,1775070044000.0,0.2112473717222235,1775070044000.0,0.0386893472996236,1775070044000.0,535.515625,1775070044000.0,0.9288919148500642,1775070044000.0,0.0017971149043271,1775070044000.0,0.9932181394204884,1775070044000.0,64.0,1775070044000.0,0.016,1775070044000.0
